Weights,Prices,Capacity,Best picks,Best price
[25 21 46 21  3],[ 1  4  1 19 16],70,[1. 1. 0. 1. 1.],40.0
[ 1 22 17  5 44],[9 2 5 1 6],94,[1. 1. 1. 1. 1.],23.0
[ 4 48  3 42  8],[ 4 19  2  5  8],31,[1. 0. 1. 0. 1.],14.0
[ 4 47 30 22  5],[ 5 12 12 14  8],20,[1. 0. 0. 0. 1.],13.0
[31 47 27 43 43],[ 7 10  5  2 17],79,[1. 0. 0. 0. 1.],24.0
[ 9 21 19 32 38],[17 13 16  6  6],46,[1. 0. 1. 0. 0.],33.0
[45 35 28  6 18],[ 9  8 19 19  1],55,[0. 0. 1. 1. 1.],39.0
[42 45 46 44 30],[ 3 15 15 15 18],59,[0. 0. 0. 0. 1.],18.0
[ 5 15 28 12 42],[ 1  5  6  1 13],51,[1. 0. 0. 0. 1.],14.0
[15 44  5 10 46],[17 14  4  8 14],63,[1. 1. 0. 0. 0.],31.0
[16 48 12 30 45],[19 18  8  6 18],87,[1. 1. 1. 0. 0.],45.0
[16 10  3 13 19],[17 13  7  2 10],19,[1. 0. 1. 0. 0.],24.0
[12 34 36 31 22],[ 2  2 11  2 19],53,[1. 0. 0. 0. 1.],21.0
[28 35  1  6 36],[11  9 16  1 19],33,[1. 0. 1. 0. 0.],27.0
[38 49 26 35 27],[ 5 14  8 19 16],72,[0. 0. 0. 1. 1.],35.0
[41 48 48 17  6],[18 16  9  6 15],94,[1. 0. 0. 1. 1.],39.0
[28  6 24 15 24],[12 16 14 17  1],32,[0. 1. 0. 1. 0.],33.0
[ 6  3 18  8 14],[ 6  9 13  9  7],31,[0. 1. 1. 1. 0.],31.0
[32 33 48 47 35],[ 6  6  1  9 18],64,[0. 0. 0. 0. 1.],18.0
[11 16 26 36  7],[16 10 15 11  9],66,[1. 1. 1. 0. 1.],50.0
[30 32 17 27 13],[15 15 15  3  9],52,[1. 0. 1. 0. 0.],30.0
[45  3 38 33 20],[ 5 10  6 15  4],39,[0. 1. 0. 1. 0.],25.0
[24 10  4  2 18],[11  6  3 11 19],31,[0. 1. 0. 1. 1.],36.0
[19 31 41 17 18],[15 13 14 19  8],91,[1. 1. 0. 1. 1.],55.0
[ 3 10 25 41 42],[ 4 11 10  4  8],99,[1. 1. 1. 0. 1.],33.0
[35  4 41 22 24],[ 8 11 15 19 18],33,[0. 1. 0. 1. 0.],30.0
[26 12 35 31  5],[10 17  1 18 14],74,[1. 1. 0. 1. 1.],59.0
[27 19 44 33 26],[13  2 10 16 12],67,[1. 0. 0. 1. 0.],29.0
[41 45 13 21 43],[ 6  7 13  5 17],58,[0. 0. 1. 0. 1.],30.0
[10 28 47 22 37],[ 6 16  5 14  2],54,[0. 1. 0. 1. 0.],30.0
[24 11 20 32 40],[ 3  6  1  7 12],57,[0. 1. 0. 0. 1.],18.0
[46 25 46 14 34],[ 3 14  4  1 14],85,[0. 1. 0. 1. 1.],29.0
[26 34 14 41 46],[ 1 15  3 11  6],30,[0. 0. 1. 0. 0.],3.0
[37 46 48 30 30],[13  4 15  9  6],70,[1. 0. 0. 1. 0.],22.0
[13 41 46 34 27],[10  8  7 10  4],66,[1. 0. 0. 1. 0.],20.0
[22 19 33 32  4],[19  3  7  4 10],27,[1. 0. 0. 0. 1.],29.0
[15  6 19 34 45],[ 2 19 13 16  5],84,[1. 1. 1. 1. 0.],50.0
[34 41 18 36 45],[ 7  1 10  6 10],89,[1. 0. 1. 1. 0.],23.0
[18 13  6 47 36],[13  8 10 16  9],55,[1. 1. 1. 0. 0.],31.0
[38 43 28 16 12],[ 1  5 15 10  5],54,[0. 0. 1. 1. 0.],25.0
[26 29 47 43 28],[ 8 12  4 18 13],32,[0. 0. 0. 0. 1.],13.0
[20 20 24 44 46],[ 3  2 16 12  9],68,[0. 0. 1. 1. 0.],28.0
[28 10 36 46 32],[ 5 19  8  8  1],77,[1. 1. 1. 0. 0.],32.0
[28 41  1 33 20],[17  1  5  1  6],34,[1. 0. 1. 0. 0.],22.0
[11  1 15 46 13],[19  4  7  3 14],76,[1. 1. 1. 0. 1.],44.0
[48 35 32 19 10],[16  4  5  3 11],66,[1. 0. 0. 0. 1.],27.0
[ 6  8 24 45 19],[14 16  9 16  9],15,[1. 1. 0. 0. 0.],30.0
[33  8 27 43 41],[13 19  5 18  8],83,[0. 1. 1. 1. 0.],42.0
[ 4 49 10 14 34],[18 14  7  1 17],96,[1. 1. 0. 0. 1.],49.0
[42 16 41 16 17],[13 17  4  3  7],91,[1. 1. 0. 1. 1.],40.0
[49 49  9 30 37],[18  6  6  4 16],33,[0. 0. 1. 0. 0.],6.0
[ 9  9 26 36 48],[15  3  7 13  7],89,[1. 1. 1. 1. 0.],38.0
[49 44  6  4  1],[19 10  4 11 11],32,[0. 0. 1. 1. 1.],26.0
[23 18  1 14 13],[ 8 14 14 19  8],15,[0. 0. 1. 1. 0.],33.0
[15 26 33 20 27],[ 6  2 17  9 12],61,[0. 0. 1. 0. 1.],29.0
[31  3 44 43 43],[16 12  9  3  5],97,[1. 1. 1. 0. 0.],37.0
[38 44  3  9 23],[ 7  9 11 12  6],24,[0. 0. 1. 1. 0.],23.0
[ 3 22 29 12 20],[12  8 11  2 14],35,[1. 0. 0. 1. 1.],28.0
[13 37 15 19 38],[12  7 10 11  8],98,[1. 0. 1. 1. 1.],41.0
[ 2  7  3 19 24],[ 7  8  7 19  6],30,[1. 1. 0. 1. 0.],34.0
[ 4 28 10 37 10],[ 1 19  9 15 16],45,[1. 1. 0. 0. 1.],36.0
[21  3 39 27  3],[ 3  8  8 17  2],92,[1. 1. 1. 1. 0.],36.0
[ 5  4 35 37 11],[17 16 14  5  6],66,[1. 1. 1. 0. 1.],53.0
[ 2 14 29 17 37],[ 6 14  3  4  3],51,[1. 1. 0. 1. 0.],24.0
[ 7  1 18 36 43],[11  8 17 14  6],20,[0. 1. 1. 0. 0.],25.0
[44 37  1 18 15],[ 9 13  8  5 13],94,[0. 1. 1. 1. 1.],39.0
[40 41 40  4 12],[ 9 19 15  1  7],69,[0. 1. 0. 1. 1.],27.0
[ 1 19  5 18 25],[ 1  5  6 13  4],46,[1. 1. 1. 1. 0.],25.0
[14 39 39 44 18],[11 12 11 13 13],32,[1. 0. 0. 0. 1.],24.0
[14  8  2 45  7],[11  6  9  2  7],67,[1. 1. 1. 0. 1.],33.0
[40 39 38 22 45],[14 10  2  2  1],20,,0.0
[39  7 23  7 44],[19 13  1 19  6],98,[1. 1. 0. 1. 1.],57.0
[30 42  2 29 13],[19  6 14 16  1],88,[1. 0. 1. 1. 1.],50.0
[22 45 28 16 42],[15  6  4 10 15],84,[1. 0. 0. 1. 1.],40.0
[45 49 18  8 27],[17 11  5  2  9],74,[1. 0. 0. 0. 1.],26.0
[ 9 13 25 19 10],[ 5 13  6  6  7],31,[0. 1. 0. 0. 1.],20.0
[16 17 44 26  5],[ 7  1  8 13  5],58,[1. 0. 0. 1. 1.],25.0
[35 30 40 29 19],[14  4 15  5  2],28,[0. 0. 0. 0. 1.],2.0
[ 7 20 44  8 39],[ 7  1 12  4  7],27,[1. 0. 0. 1. 0.],11.0
[34 38 11 12 40],[ 5  6 13  4  9],48,[1. 0. 1. 0. 0.],18.0
[28 20 44 41 18],[ 6  7  2 19 16],57,[0. 1. 0. 0. 1.],23.0
[17 48 37 28 33],[ 1 17  6  2  8],24,[1. 0. 0. 0. 0.],1.0
[46 35 11  6 49],[15  2 17  8  5],18,[0. 0. 1. 1. 0.],25.0
[43 19 19 18 28],[10  1 15 19  8],68,[0. 0. 1. 1. 1.],42.0
[17 29 32  7 10],[ 9  2 12 18  4],65,[1. 0. 1. 1. 0.],39.0
[23 33  2 38 11],[18  1  2  5 14],49,[1. 0. 1. 0. 1.],34.0
[12 25 44 44 21],[15  1 13  5  3],16,[1. 0. 0. 0. 0.],15.0
[47  7 34 40 15],[16  5 12  1  9],64,[0. 1. 1. 0. 1.],26.0
[38 29  8  9 36],[ 3  8 14 13 12],17,[0. 0. 1. 1. 0.],27.0
[12 46 17 38 13],[ 4  7  2  7 11],58,[0. 0. 0. 1. 1.],18.0
[ 1 23 33 13 19],[ 9 13 18  1  1],99,[1. 1. 1. 1. 1.],42.0
[15 34 32  1 40],[ 4 11  8  8 13],45,[0. 0. 0. 1. 1.],21.0
[22  1 20 27 40],[ 7 10  3 12 14],20,[0. 1. 0. 0. 0.],10.0
[14 45 11  4 34],[17  9 13 10 10],74,[1. 0. 1. 1. 1.],50.0
[ 7 41 13 48 26],[ 1  5  9 14  5],42,[0. 0. 1. 0. 1.],14.0
[47 28 38 42 38],[ 2 16 10 16  7],66,[0. 1. 1. 0. 0.],26.0
[ 2 18 24 22 21],[ 4  5  5 19  5],85,[0. 1. 1. 1. 1.],34.0
[12 33 14 34 24],[13 18  5 18 12],37,[1. 0. 0. 0. 1.],25.0
[15 18 34 40 27],[10 15 15 12  1],70,[1. 1. 1. 0. 0.],40.0
[46 38  4  7 18],[ 7  2  8 14 14],20,[0. 0. 1. 1. 0.],22.0
[ 8 38 21 22 10],[11 19 12  9 10],15,[1. 0. 0. 0. 0.],11.0
[25 14 37 39 22],[14 13 11 12  3],82,[1. 1. 0. 1. 0.],39.0
[ 6  6 23 35 29],[15 12  6  3 11],98,[1. 1. 1. 0. 1.],44.0
[49 13 17 11 47],[ 7 18  8  7  7],81,[1. 1. 1. 0. 0.],33.0
[ 9  1 48 13  5],[17  3 19 10 11],96,[1. 1. 1. 1. 1.],60.0
[39 47  2 45 32],[ 5  9  3  5 13],77,[1. 0. 1. 0. 1.],21.0
[14 29 38 39  7],[ 9  8 10  9 12],58,[1. 1. 0. 0. 1.],29.0
[20 31 21 14 37],[15  8  9  4 17],44,[1. 0. 1. 0. 0.],24.0
[15 15 22 37 31],[13 15  3  5 13],18,[0. 1. 0. 0. 0.],15.0
[ 1 22 22  8 11],[17  8  2 15 16],39,[1. 0. 0. 1. 1.],48.0
[36 40 20 25  3],[18 16  3 19  8],19,[0. 0. 0. 0. 1.],8.0
[15 27 24 47 17],[ 6 15 18 14  4],30,[0. 0. 1. 0. 0.],18.0
[19 28  7  1 49],[19  4  4 14 12],66,[1. 1. 1. 1. 0.],41.0
[17 39 39 33  6],[15 19 10  4  5],45,[0. 1. 0. 0. 1.],24.0
[48 44 29 15 15],[12  4  4  7  3],84,[1. 0. 0. 1. 1.],22.0
[42 23 49 27 21],[12  5  2  1  8],44,[0. 1. 0. 0. 1.],13.0
[15 47 49  9 48],[ 9 12 13  1  3],43,[1. 0. 0. 1. 0.],10.0
[21 32 20 39  4],[ 8 16  4  3  8],38,[0. 1. 0. 0. 1.],24.0
[37  8 31  3 10],[17  8  2 14  3],73,[1. 1. 0. 1. 1.],42.0
[33 33  7 22 21],[14 19  9 11 16],59,[0. 0. 1. 1. 1.],36.0
[17 34 15 43 29],[ 4  3  2 10 14],22,[1. 0. 0. 0. 0.],4.0
[ 9  5  3 37 47],[ 3 14 19  6  7],98,[0. 1. 1. 1. 1.],46.0
[39 25 44 42 13],[ 5 15  6  2  9],46,[0. 1. 0. 0. 1.],24.0
[30 49  7 11 23],[10  7 15 17  7],34,[0. 0. 1. 1. 0.],32.0
[44  7 21 15 41],[ 6 16  1  2  3],65,[1. 1. 0. 0. 0.],22.0
[34 25  7 34 13],[6 5 7 4 1],96,[1. 1. 1. 0. 1.],19.0
[28 14 35 44 19],[ 7  5 10  8  4],29,[1. 0. 0. 0. 0.],7.0
[17 28 37  6 38],[16 16  4  2 18],45,[1. 1. 0. 0. 0.],32.0
[36 25 19 21 29],[14  6  3  5  8],26,[0. 1. 0. 0. 0.],6.0
[ 4 13 37 16 16],[ 6  1 11  4  9],41,[1. 0. 0. 1. 1.],19.0
[13 35 45 31  9],[ 2  2  4 16  2],53,[1. 0. 0. 1. 1.],20.0
[19 38 27 41  6],[17  7 14  2  9],81,[1. 0. 1. 0. 1.],40.0
[27 10 37  2 16],[18  5  6 19  3],56,[1. 1. 0. 1. 1.],45.0
[42 23 17 19 28],[12  4  9  4 17],43,[0. 0. 0. 0. 1.],17.0
[ 1 22  6 26  8],[ 2  5 14 19  3],44,[1. 0. 1. 1. 1.],38.0
[29 40 25  5 49],[11 12 16 15 15],31,[0. 0. 1. 1. 0.],31.0
[13 42 13 49 32],[19  7  6 10  8],90,[1. 0. 1. 1. 0.],35.0
[40 30 42 28 28],[13 18 18 13  5],87,[0. 1. 1. 0. 0.],36.0
[39 21  9 42 49],[ 4 12 17 19 17],97,[0. 1. 1. 1. 0.],48.0
[ 5 41 39  5 32],[16  4 15 18 19],31,[1. 0. 0. 1. 0.],34.0
[22  2 31 30 43],[ 8  7  9  6 18],35,[0. 1. 1. 0. 0.],16.0
[ 3  7  1 14 24],[15  3  9 13  5],70,[1. 1. 1. 1. 1.],45.0
[31  3 17 25  9],[18  8  2 18  5],16,[0. 1. 0. 0. 1.],13.0
[ 6 33  9 49 41],[ 6  9  6 11  8],37,[1. 0. 1. 0. 0.],12.0
[13 11 41  2  7],[15  8 17 14 17],98,[1. 1. 1. 1. 1.],71.0
[ 2 27 32 12 41],[ 2  8 10 12 10],28,[1. 0. 0. 1. 0.],14.0
[40 19 18 33 42],[4 5 9 8 5],27,[0. 0. 1. 0. 0.],9.0
[45  1 29 41 21],[12  2 19  3  6],40,[0. 1. 1. 0. 0.],21.0
[ 1 25 37 34 25],[18  5 15  3 12],48,[1. 0. 1. 0. 0.],33.0
[27 21 30 27 30],[13  4  7 14 13],21,[0. 1. 0. 0. 0.],4.0
[43  2 47 18 29],[17  1 10 16 12],46,[1. 1. 0. 0. 0.],18.0
[ 1 15 30 27 14],[16  3 12 13  5],27,[1. 0. 0. 0. 1.],21.0
[41  6 38 33 40],[16 17  2 16 12],55,[1. 1. 0. 0. 0.],33.0
[13  6  2 35 38],[18  6 17 15 18],57,[1. 1. 1. 1. 0.],56.0
[25 18 19 10 39],[ 2 19  5  5 18],44,[0. 1. 1. 0. 0.],24.0
[ 4 21 20  2 40],[ 8  9 16  4 19],50,[1. 1. 1. 1. 0.],37.0
[40  4  5 35 40],[16  6  6  7  3],25,[0. 1. 1. 0. 0.],12.0
[27  9 29 17 10],[ 8  5  6 14 11],29,[0. 0. 0. 1. 1.],25.0
[15 34  5  1 44],[11  1  3  3 18],85,[1. 0. 1. 1. 1.],35.0
[44 12 27  6 43],[12 14 11  4 18],19,[0. 1. 0. 1. 0.],18.0
[21  8 33 18 46],[ 9 19  6  4 13],90,[1. 1. 0. 0. 1.],41.0
[45 26 20 16 23],[19  6 17  2  9],34,[0. 0. 1. 0. 0.],17.0
[15 11 46 45 47],[ 1  3 15 16  7],32,[1. 1. 0. 0. 0.],4.0
[37 12 21  6 27],[ 2  1  7 14 12],31,[0. 0. 1. 1. 0.],21.0
[14 45  9 35 34],[13  5  3 11 16],41,[1. 0. 1. 0. 0.],16.0
[28 17  1 47 48],[ 6  6 14  5 12],37,[1. 0. 1. 0. 0.],20.0
[38  1 13 15 30],[ 4 18 13 17 12],43,[0. 1. 1. 1. 0.],48.0
[45  4 36 18 18],[16 19  3 17 15],95,[1. 1. 0. 1. 1.],67.0
[ 2 42 47 33 37],[ 3 15 14 10 14],19,[1. 0. 0. 0. 0.],3.0
[19 43  4  7 29],[10  1  5 17 11],90,[1. 0. 1. 1. 1.],43.0
[27 12 19 14 42],[ 5 15  4  7 11],89,[0. 1. 1. 1. 1.],37.0
[ 8  9 46 15 39],[17 12 16 12 19],56,[1. 1. 0. 0. 1.],48.0
[ 7 45  4 37 46],[ 8 12  4 11 13],96,[1. 0. 1. 1. 1.],36.0
[ 1 34 12  3  3],[13 11 11 11 10],25,[1. 0. 1. 1. 1.],45.0
[31 10 10 33 32],[11  6  2  8  3],86,[1. 1. 1. 1. 0.],27.0
[49 47 42 27 20],[ 7  5 13 17 13],32,[0. 0. 0. 1. 0.],17.0
[14 26  3 12 31],[ 9 13 18 10 14],82,[0. 1. 1. 1. 1.],55.0
[ 9 48 15 24  8],[19  5  6 12 16],20,[1. 0. 0. 0. 1.],35.0
[22 38  8  4 27],[ 4 12  5 10 10],24,[0. 0. 1. 1. 0.],15.0
[41 19 29 12  7],[ 7  9  9  1 13],82,[0. 1. 1. 1. 1.],32.0
[31 36 13  9  5],[ 6  7 14  9 11],92,[0. 1. 1. 1. 1.],41.0
[ 1 31 22 23 23],[15  2 12  9  5],85,[1. 0. 1. 1. 1.],41.0
[12 33  7 31 17],[14  6  2 13 15],79,[1. 0. 1. 1. 1.],44.0
[31 29 14 10 17],[ 1  6 16  7 12],75,[0. 1. 1. 1. 1.],41.0
[10 32 12  9 43],[19 15  5 19 12],70,[1. 1. 1. 1. 0.],58.0
[28 19 25 14 11],[ 4  5 18  1  3],93,[1. 1. 1. 0. 1.],30.0
[40 20 14 20 35],[ 5 18  3  8 12],91,[0. 1. 1. 1. 1.],41.0
[14  2 34 10 27],[7 7 1 1 6],59,[1. 1. 0. 1. 1.],21.0
[ 7 37 41 31 30],[ 4  4  2 12 17],68,[1. 0. 0. 1. 1.],33.0
[18  4 16 43 10],[13  9 18 13 17],69,[1. 1. 1. 0. 1.],57.0
[17 27 17 31 46],[15 19  4  5  5],84,[1. 1. 0. 1. 0.],39.0
[41  1 40  8 43],[17  2 11 18 19],54,[0. 1. 0. 1. 1.],39.0
[45 19 10  3 30],[16 15  4 13  9],79,[1. 1. 1. 1. 0.],48.0
[39 35 15 19  1],[ 6  5  4 12 13],71,[0. 1. 1. 1. 1.],34.0
[47 17 35 32 13],[12 15  8  6  9],88,[1. 1. 0. 0. 1.],36.0
[19  5 13 28  7],[14 11  7  6 19],63,[1. 1. 1. 0. 1.],51.0
[44 48 47 25 26],[13  3 15  3  1],15,,0.0
[13 16 41  9  3],[3 8 8 6 9],98,[1. 1. 1. 1. 1.],34.0
[25 16 16  3 32],[11 18 18 15 11],38,[0. 1. 1. 1. 0.],51.0
[21  7 17 33  9],[ 9 10 16 10  9],71,[0. 1. 1. 1. 1.],45.0
[18 23  2 29  1],[10  2 11 18  3],87,[1. 1. 1. 1. 1.],44.0
[12 36 27  7 27],[15  8  4 19 10],68,[1. 0. 0. 1. 1.],44.0
[13  1 21 22 17],[ 2 19 13 16  3],78,[1. 1. 1. 1. 1.],53.0
[24 11 36  7 31],[ 6 16  3  2  3],77,[1. 1. 0. 1. 1.],27.0
[14 29 16 48 48],[12 10  6 11 17],67,[1. 0. 0. 0. 1.],29.0
[ 9 17 36 11 39],[ 9 18 13 18 17],44,[1. 1. 0. 1. 0.],45.0
[29 26 26 26 40],[ 8 14 11 16 11],38,[0. 0. 0. 1. 0.],16.0
[ 7 38 28 48 23],[ 4 16 18  9  7],94,[0. 1. 1. 0. 1.],41.0
[44 37 44 48 41],[19  1  3 12 15],26,,0.0
[14  9 42 15  4],[17  8 13  3  3],74,[1. 1. 1. 0. 1.],41.0
[15 48 42 37 47],[ 4  4 18  1  8],73,[1. 0. 1. 0. 0.],22.0
[ 5  9 25 35 49],[11  6 11  2  4],29,[1. 1. 0. 0. 0.],17.0
[ 7 24 48 45 33],[14  3 19 19 13],65,[1. 0. 1. 0. 0.],33.0
[38  1 30  6  8],[12 11  4  1 16],61,[1. 1. 0. 1. 1.],40.0
[23 34  8 25 48],[9 4 6 6 6],15,[0. 0. 1. 0. 0.],6.0
[45  7 47 29 47],[10  7  9  8  1],40,[0. 1. 0. 1. 0.],15.0
[22 21 28 17 41],[ 7  4  8  6 19],74,[0. 0. 1. 0. 1.],27.0
[24  7  3  7 27],[ 3 14 18 15  1],28,[0. 1. 1. 1. 0.],47.0
[14 16 48 31  9],[15 13 18  7 13],45,[1. 1. 0. 0. 1.],41.0
[ 8 16 26 10 33],[14  6  9 13 17],64,[1. 0. 0. 1. 1.],44.0
[ 1 46  3 34 22],[ 4 16 12  9  4],17,[1. 0. 1. 0. 0.],16.0
[29 14  8 33 47],[18 11  3 12 13],53,[1. 1. 1. 0. 0.],32.0
[45 40 48 11 22],[13 16 13 19  2],18,[0. 0. 0. 1. 0.],19.0
[21 13 14 35 15],[11 17 16 12  9],22,[0. 1. 0. 0. 0.],17.0
[44 42  8 46 12],[ 1  6  1  4 16],18,[0. 0. 0. 0. 1.],16.0
[48 26 48 29 19],[ 5  4  5 16  8],96,[1. 0. 0. 1. 1.],29.0
[44  6 10 43 20],[11 12  3 11  4],66,[1. 1. 1. 0. 0.],26.0
[39  4 23  1 24],[ 9  1  4 10  6],69,[1. 1. 0. 1. 1.],26.0
[38 33 43 27  4],[15 17 15 16 12],83,[0. 1. 0. 1. 1.],45.0
[25 31 19 15 16],[ 9  9  1  8 17],29,[0. 0. 0. 0. 1.],17.0
[33 45 38 36 35],[ 4 16  9  3 10],53,[0. 1. 0. 0. 0.],16.0
[34 27 44 36 36],[14  6  8  9  2],82,[1. 0. 0. 1. 0.],23.0
[39 15 48 25 16],[ 4  4 12 16  2],90,[0. 1. 1. 1. 0.],32.0
[33  3 19 11  6],[14 18 18 19 16],54,[0. 1. 1. 1. 1.],71.0
[13 26 36 39 39],[ 8 19  9  8 18],39,[1. 1. 0. 0. 0.],27.0
[40 32 23 29 17],[18 18 16 16 11],48,[0. 0. 1. 0. 1.],27.0
[16 13  2 45 15],[ 3  1  5 16 16],74,[0. 0. 1. 1. 1.],37.0
[ 5 11  6  7 20],[ 5 16  1 16  1],22,[0. 1. 0. 1. 0.],32.0
[45 35 11 16 44],[11 16 13  4  4],79,[0. 1. 1. 1. 0.],33.0
[32 12  2 38 12],[11 16  5 15  2],61,[0. 1. 1. 1. 0.],36.0
[18 14 41  7 10],[12  2  4 18  4],65,[1. 1. 0. 1. 1.],36.0
[31 42  2  8 22],[ 3 14 11  8  3],56,[0. 1. 1. 1. 0.],33.0
[44 32 48 23  3],[16  3  2  1 17],84,[1. 1. 0. 0. 1.],36.0
[38 22 27 21 11],[ 9  4 11 18 15],75,[0. 0. 1. 1. 1.],44.0
[18 47 18 40 31],[18  8  5 12 11],17,,0.0
[38 14 15 19 22],[19 18  5  4 16],59,[0. 1. 1. 0. 1.],39.0
[45 29 35 48 35],[11 11 16  4 18],75,[0. 0. 1. 0. 1.],34.0
[ 7 31  4 13 16],[ 4  4 11  3 13],97,[1. 1. 1. 1. 1.],35.0
[33 27 17 25 18],[17 12  3 11 13],91,[1. 1. 0. 0. 1.],42.0
[37 42 48  2 48],[ 1  7 11 19  4],41,[1. 0. 0. 1. 0.],20.0
[28 13  8  6 48],[18 17  2  7  8],74,[1. 1. 1. 1. 0.],44.0
[31 48 36 19 43],[19  5  8 16 10],42,[1. 0. 0. 0. 0.],19.0
[40 15 10 26 48],[ 9  3 16 18  4],92,[1. 1. 1. 1. 0.],46.0
[ 9 20 29 11 23],[11 12  9  1  4],90,[1. 1. 1. 0. 1.],36.0
[ 3  9 14 18 13],[13 18 14 16 18],39,[1. 1. 1. 0. 1.],63.0
[25 25 46 30 45],[ 1  9  7 14  6],41,[0. 0. 0. 1. 0.],14.0
[42 39 14 27 49],[10 19  1  5 16],78,[0. 1. 0. 1. 0.],24.0
[21 18 20  4  9],[ 6  4 18 12 16],92,[1. 1. 1. 1. 1.],56.0
[41 48 11 27 28],[11 13 11 12 17],98,[0. 1. 1. 0. 1.],41.0
[26 25 43 49 37],[ 6 19  2  5 16],96,[1. 1. 0. 0. 1.],41.0
[16 38 45 20 12],[16 16  5  3 13],79,[1. 1. 0. 0. 1.],45.0
[41  1 22 29 16],[ 3 17 13 14  3],20,[0. 1. 0. 0. 1.],20.0
[42 29 37 31 31],[16 10 12 12  8],92,[0. 1. 0. 1. 1.],30.0
[ 1 44 22  7  8],[19  7 19  8 12],74,[1. 0. 1. 1. 1.],58.0
[27 42 17  3 17],[14 16  6  5  7],82,[1. 1. 0. 1. 0.],35.0
[34 28 35 47 37],[13  4  2 18  3],92,[1. 0. 0. 1. 0.],31.0
[37  2 30 28 11],[ 1  5  6 15 10],97,[0. 1. 1. 1. 1.],36.0
[42  8 36 12 26],[19  7 11 11 18],71,[1. 1. 0. 1. 0.],37.0
[32  2  5 48 26],[ 7 13 14 10 12],98,[0. 1. 1. 1. 1.],49.0
[45  5  4 38 42],[17  8 12  1  6],37,[0. 1. 1. 0. 0.],20.0
[38 10 32 25 46],[ 2 19  7 10 18],76,[0. 1. 0. 0. 1.],37.0
[ 4 22 13 37  9],[15  1  5  7  7],64,[1. 0. 1. 1. 1.],34.0
[27  1 36  3 18],[15  7  9 15 10],28,[0. 1. 0. 1. 1.],32.0
[15 44 37 45 43],[ 6  4  7  5 15],24,[1. 0. 0. 0. 0.],6.0
[39 44 39 37 33],[18 14  8 17 18],75,[1. 0. 0. 0. 1.],36.0
[45 27 36 32 16],[ 2  1  2  5 12],98,[1. 0. 0. 1. 1.],19.0
[37 15  2 26 30],[ 6  7  3  8 16],50,[0. 1. 1. 0. 1.],26.0
[ 3 35 14  8 39],[ 9 19 10  3 10],60,[1. 1. 1. 1. 0.],41.0
[11 48 43 35 30],[ 3 12 15  8 12],66,[0. 0. 0. 1. 1.],20.0
[17 45 24 48 21],[ 2  8  7  4 12],77,[1. 0. 1. 0. 1.],21.0
[39 11 16 36 33],[15 14  3  3 18],45,[0. 1. 0. 0. 1.],32.0
[31 25 47 37 15],[ 3  5 11  4  4],69,[0. 0. 1. 0. 1.],15.0
[28 36 23 49 24],[10 14 10 12 12],87,[0. 1. 1. 0. 1.],36.0
[36  4 27 34  8],[ 4 15  4  2 13],54,[1. 1. 0. 0. 1.],32.0
[22 23 42 40 26],[ 8  6 12 14  4],50,[1. 1. 0. 0. 0.],14.0
[15 46 20 29  1],[19  2 17  3 11],89,[1. 0. 1. 1. 1.],50.0
[ 4 39 24 44 43],[ 7  5  8 15 11],29,[1. 0. 1. 0. 0.],15.0
[29 35 17 33 23],[ 7  3 16  7  2],30,[0. 0. 1. 0. 0.],16.0
[34  2 27 21 35],[18  4  3 18  9],65,[1. 1. 0. 1. 0.],40.0
[22 33 20 38 28],[ 5 19  1  9 10],15,,0.0
[28  1 48 13  9],[12 16 14 19  1],59,[1. 1. 0. 1. 1.],48.0
[10 12 24  4 20],[ 6 15 13  1 10],51,[1. 1. 1. 1. 0.],35.0
[ 2 42  2 12 47],[18 13 14  7 12],67,[1. 1. 1. 1. 0.],52.0
[18 41 10  3  7],[ 1 17  6  3  7],75,[0. 1. 1. 1. 1.],33.0
[42 41 17 10 22],[ 4  6  5  2 13],61,[0. 0. 1. 1. 1.],20.0
[21 27  5  4  3],[ 8 13 10 17  7],60,[1. 1. 1. 1. 1.],55.0
[10 33 33 34 34],[17 19 12 10  7],64,[1. 1. 0. 0. 0.],36.0
[24 12 48  6 35],[19  2 14 19 19],34,[1. 0. 0. 1. 0.],38.0
[10 30  6 16 18],[ 4 17  3 18 11],62,[1. 1. 1. 1. 0.],42.0
[49 30 12 25 41],[ 7 17 14 18  3],21,[0. 0. 1. 0. 0.],14.0
[22 47 14 29 12],[19  6  2  7  4],92,[1. 0. 1. 1. 1.],32.0
[22  8 11 35 27],[13  4  1  3 11],56,[1. 0. 0. 0. 1.],24.0
[29 19 39 23 19],[ 9 18  6  8 19],85,[1. 1. 0. 0. 1.],46.0
[ 4 44  4 44 33],[13 10 10  9 19],96,[1. 1. 1. 0. 1.],52.0
[17 46 37 39 18],[ 3  1  9 14  5],15,,0.0
[18 46 27 31 10],[12 12  8  3 10],80,[1. 1. 0. 0. 1.],34.0
[40 27 35 13 34],[ 5  8 13  2 13],67,[0. 1. 1. 0. 0.],21.0
[35 36  1  4 33],[ 9 10  8 16 14],90,[0. 1. 1. 1. 1.],48.0
[32 28 32  3  8],[12  9 19 15 10],15,[0. 0. 0. 1. 1.],25.0
[15 40 23 29 10],[ 9 10 11  6  8],29,[1. 0. 0. 0. 1.],17.0
